"date","bike_count","weekday","is_weekend","is_holiday","FX.Windspitze","FM.Windgeschwindigkeit","RSK.Niederschlagshoehe","RSKF.Niederschlagsform","SDK.Sonnenscheindauer","SHK_TAG.Schneehoehe","NM.Bedeckungsgrad","TMK.Lufttemperatur","UPM.Relative_Feuchte","TXK.Lufttemperatur_Max","TNK.Lufttemperatur_Min","TGK.Lufttemperatur_5cm_min"
2012-04-26,5849,4,0,0,9.9,2.4,0,6,2.9,0,6.6,13,72,18.1,7.1,5.6
2012-04-27,5846,5,0,0,6.1,1.5,0.1,6,6.2,0,6.1,14.3,72,21.5,5,3.6
2012-04-28,4261,6,1,0,8.1,2.7,0,0,11.3,0,4.8,20.6,57,30.4,11.5,10.5
2012-04-29,1901,7,1,0,16.4,3.3,3.7,8,5.3,0,7.2,16.9,66,23.4,11.9,10.6
2012-04-30,5732,1,0,0,18.8,3.8,3.2,6,5.4,0,6.8,18.7,65,25.7,10.8,9.6
2012-05-01,2558,2,0,1,9.7,3.3,0.8,6,10.3,0,6.3,16.1,67,21.6,9.9,8
2012-05-02,5856,3,0,0,14.3,4.6,0,0,8.2,0,4.8,15.3,73,20.5,9,6.1
2012-05-03,6738,4,0,0,8.7,2.5,0,0,13,0,2.3,14,68,20.7,6.8,5.7
2012-05-04,6309,5,0,0,10,1.9,0.5,6,12.3,0,4,16,62,23.7,6.3,5.1
2012-05-05,2602,6,1,0,10.2,3.3,12.6,6,0.1,0,7.7,13,89,15.5,8.3,7.5
2012-05-06,1368,7,1,0,10.4,2.9,8.6,6,2.9,0,7.5,12.2,87,15.9,8.3,8.1
2012-05-07,4611,1,0,0,6.2,1.6,1.2,6,3.2,0,5.7,11.8,84,16.9,8.5,7.2
2012-05-08,6037,2,0,0,14.7,2.4,0.4,6,8.4,0,6.3,14.7,73,22.2,6.3,5.6
2012-05-09,5929,3,0,0,12.8,4.5,0.1,6,4.4,0,6.4,17.5,78,21.4,12.2,10.6
2012-05-10,6776,4,0,0,8.9,2.1,0,0,12.7,0,6.1,20,72,28.5,10.3,9.2
2012-05-11,5987,5,0,0,11.9,3.1,4.9,6,10.7,0,7.4,22.6,67,30.6,14.7,13.8
2012-05-12,3799,6,1,0,10.1,3.9,0,6,5.2,0,4.7,13,63,16.1,8.4,5.9
2012-05-13,2267,7,1,0,9.3,3.3,0,0,10.7,0,3.8,10.2,61,15.3,4.1,2.4
2012-05-14,6176,1,0,0,6.6,1.5,0,0,12.6,0,2.8,11.1,58,18.5,2.1,0.4
2012-05-15,5209,2,0,0,15.7,4.9,7.2,6,5,0,5.9,9.2,75,14.5,4,2.8
2012-05-16,4452,3,0,0,10.4,3.9,2.7,6,4.6,0,6.5,8.7,74,13.4,4.2,2.4
2012-05-17,2128,4,0,1,10.9,3.1,0.1,6,13.4,0,4.2,10.9,62,17.5,0.9,-0.2
2012-05-18,5332,5,0,0,7.3,2.5,0.9,6,6.1,0,7,15.6,62,21.9,10,8.6
2012-05-19,3468,6,1,0,11.9,2.2,7.8,6,8.6,0,5.8,17,79,24.7,11.6,10.7
2012-05-20,2103,7,1,0,9.4,2.6,0,0,11.1,0,6.2,19.4,72,25.6,11.8,11.2
2012-05-21,6353,1,0,0,14.2,3.8,2.1,6,5.3,0,6.7,18.4,77,24.2,14.9,14
