start,end,year,stateCode,name,slug
2017-04-10,2017-04-21,2017,BY,osterferien bayern  2017,osterferien bayern  2017-2017-BY
2017-06-06,2017-06-16,2017,BY,pfingstferien bayern  2017,pfingstferien bayern  2017-2017-BY
2017-07-31,2017-09-11,2017,BY,sommerferien bayern  2017,sommerferien bayern  2017-2017-BY
2017-10-28,2017-11-03,2017,BY,herbstferien bayern  2017,herbstferien bayern  2017-2017-BY
2017-10-28,2017-11-22,2017,BY,herbstferien bayern 2017,herbstferien bayern 2017-2017-BY
2017-12-26,2018-01-05,2017,BY,weihnachtsferien bayern  2017,weihnachtsferien bayern  2017-2017-BY
2017-04-03,2017-04-13,2017,HE,osterferien hessen 2017,osterferien hessen 2017-2017-HE
2017-07-03,2017-08-11,2017,HE,sommerferien hessen 2017,sommerferien hessen 2017-2017-HE
2017-10-09,2017-10-20,2017,HE,herbstferien hessen 2017,herbstferien hessen 2017-2017-HE
2017-12-27,2018-01-12,2017,HE,weihnachtsferien hessen 2017,weihnachtsferien hessen 2017-2017-HE
2017-04-10,2017-04-21,2017,NW,osterferien nordrhein-westfalen 2017,osterferien nordrhein-westfalen 2017-2017-NW
2017-06-06,2017-06-06,2017,NW,pfingstferien nordrhein-westfalen 2017 (beweglicher ferientag),pfingstferien nordrhein-westfalen 2017 (beweglicher ferientag)-2017-NW
2017-07-17,2017-08-29,2017,NW,sommerferien nordrhein-westfalen 2017,sommerferien nordrhein-westfalen 2017-2017-NW
2017-10-23,2017-11-03,2017,NW,herbstferien nordrhein-westfalen 2017,herbstferien nordrhein-westfalen 2017-2017-NW
2017-12-27,2018-01-05,2017,NW,weihnachtsferien nordrhein-westfalen 2017,weihnachtsferien nordrhein-westfalen 2017-2017-NW
2018-02-12,2018-02-16,2018,BY,winterferien bayern  2018,winterferien bayern  2018-2018-BY
2018-03-26,2018-04-06,2018,BY,osterferien bayern  2018,osterferien bayern  2018-2018-BY
2018-05-22,2018-06-01,2018,BY,pfingstferien bayern  2018,pfingstferien bayern  2018-2018-BY
2018-07-30,2018-09-10,2018,BY,sommerferien bayern  2018,sommerferien bayern  2018-2018-BY
2018-10-29,2018-11-02,2018,BY,herbstferien bayern  2018,herbstferien bayern  2018-2018-BY
2018-10-29,2018-11-21,2018,BY,herbstferien bayern 2018 (beweglicher ferientag),herbstferien bayern 2018 (beweglicher ferientag)-2018-BY
2018-12-24,2019-01-04,2018,BY,weihnachtsferien bayern  2018,weihnachtsferien bayern  2018-2018-BY
